id,animalid,address,y,x,location,date,type,breed,color,sex,age,image
49,A732112,1701 CLOVERLEAFAUSTIN 78723,30.309115,-97.695351,Yes (come to the shelter),8/2/16,Cat,Domestic Longhair Mix,Black/White,Intact Male,4 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732112&LOCATION=ASTN
50,A732312,AUSTIN 78721,30.270568,-97.683892,Yes (come to the shelter),8/5/16,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Male,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732312&LOCATION=ASTN
51,A732310,AUSTIN 78721,30.270568,-97.683892,Yes (come to the shelter),8/5/16,Cat,Domestic Shorthair Mix,Tortie,Intact Female,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732310&LOCATION=ASTN
52,A732311,AUSTIN 78721,30.270568,-97.683892,Yes (come to the shelter),8/5/16,Cat,Domestic Shorthair Mix,Blue Tabby,Intact Female,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732311&LOCATION=ASTN
53,A732313,AUSTIN 78721,30.270568,-97.683892,Yes (come to the shelter),8/5/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732313&LOCATION=ASTN
54,A732396,HOWARD LANE AUSTIN 78759,30.40316,-97.753727,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Orange/White,Neutered Male,11 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732396&LOCATION=ASTN
55,A732191,3713 TUDOR BLVDAUSTIN 78759,30.385373,-97.739341,No (contact for more info),8/3/16,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732191&LOCATION=ASTN
56,A732298,PUTNAM DR AUSTIN 78757,30.349869,-97.732706,No (contact for more info),8/5/16,Dog,Norwich Terrier Mix,Brown/White,Unknown,7 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732298&LOCATION=ASTN
57,A732318,3014 WILLIAMCANNON AUSTIN 78745,30.210041,-97.821797,No (contact for more info),8/5/16,Dog,Labrador Retriever Mix,Black,Unknown,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732318&LOCATION=ASTN
58,A732302,806 PARK BLVDAUSTIN 78751,30.301813,-97.722309,No (contact for more info),8/5/16,Cat,Domestic Shorthair Mix,Black,Intact Male,5 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732302&LOCATION=ASTN
59,A732287,744 W WILLIAM CANNON DRAUSTIN 78745,30.197953,-97.789496,No (contact for more info),8/5/16,Cat,Domestic Shorthair Mix,Black Tabby,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732287&LOCATION=ASTN
60,A732297,2112 E WILLIAM CANNON DRAUSTIN 78744,30.187409,-97.761582,No (contact for more info),8/5/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,3 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732297&LOCATION=ASTN
61,A732319,BARTON SPRINGS AUSTIN 78746,30.293201,-97.80785,Yes (come to the shelter),8/6/16,Dog,Labrador Retriever Mix,White,Intact Male,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732319&LOCATION=ASTN
62,A732321,13600 IMMANUEL RDAUSTIN 78660,30.401717,-97.630667,No (contact for more info),8/6/16,Dog,German Shepherd/Australian Cattle Dog,Black/Tan,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732321&LOCATION=ASTN
63,A672608,TIPTON DR AUSTIN 78723,30.30723,-97.686715,Yes (come to the shelter),8/5/16,Dog,Pit Bull Mix,Blue/White,Intact Female,3 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A672608&LOCATION=ASTN
64,A732286,7212 ONDANTRA BENDAUSTIN 78744,30.178111,-97.758426,Yes (come to the shelter),8/5/16,Dog,German Shepherd Mix,Cream/Silver,Neutered Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732286&LOCATION=ASTN
65,A732326,5500 WINOWARD DRAUSTIN 78753,30.306555,-97.687737,Yes (come to the shelter),8/6/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732326&LOCATION=ASTN
66,A732353,14408 SANDIFER STAUSTIN 78725,30.237131,-97.588309,Yes (come to the shelter),8/6/16,Dog,Jack Russell Terrier Mix,White/Tan,Intact Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732353&LOCATION=ASTN
67,A732336,3501 S 1ST STAUSTIN 78704,30.232181,-97.765889,Yes (come to the shelter),8/6/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,8 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732336&LOCATION=ASTN
68,A732355,AUSTIN 78702,30.264271,-97.71608,Yes (come to the shelter),8/6/16,Dog,Labrador Retriever Mix,Black,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732355&LOCATION=ASTN
69,A732372,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732372&LOCATION=ASTN
70,A732061,7010 BOORK VALLEY CIRAUSTIN 78724,30.307888,-97.653736,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Brown Tabby/White,Intact Female,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732061&LOCATION=ASTN
71,A732387,1434 WELLS BRANCH PKWYPFLUGERVILLE 78660,30.441201,-97.664452,Yes (come to the shelter),8/6/16,Dog,Pit Bull Mix,Brown/White,Intact Female,5 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732387&LOCATION=ASTN
72,A732388,12124 LOMA VISTA CIRAUSTIN 78617,30.175462,-97.628531,Yes (come to the shelter),8/6/16,Cat,Domestic Shorthair Mix,Black,Intact Female,8 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732388&LOCATION=ASTN
73,A732399,SW PARKWAY AUSTIN 78745,30.206782,-97.798214,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Black/White,Intact Female,3 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732399&LOCATION=ASTN
74,A732408,12808 CEDER ST78653,30.347661,-97.52399,Yes (come to the shelter),8/7/16,Dog,Staffordshire Mix,Brown Brindle/White,Intact Male,5 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732408&LOCATION=ASTN
